Invoice_Date,Link_ID,SLA_Date,Invoice_Period,Invoice_Description,Invoice_Reference,Total_QRC,Invoice_Quarter,Invoice_Fyr,modified_Link_ID,Unique_Link_Identifier_Invoice,Service_Provider
2023-10-01,95059101,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA -KAJIADO-LOOP-FIBER,B1-10096515502,68027.59680000001,Q2,Fyr 2023/24,2020-12-Saf00_95059101,B1-10096515502_95059101_2020,Saf
2023-10-01,95059102,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA-NAROK-LOOP-CERAGON,B1-10096515502,81470.31480000001,Q2,Fyr 2023/24,2020-12-Saf00_95059102,B1-10096515502_95059102_2020,Saf
2023-10-01,95060864,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA MBITA CERAGON,B1-10096515502,80029.79490000001,Q2,Fyr 2023/24,2020-12-Saf00_95060864,B1-10096515502_95060864_2020,Saf
2023-10-01,95061438,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA MURANGA - 15 MBPS MPLS,B1-10096515502,74053.008,Q2,Fyr 2023/24,2020-12-Saf00_95061438,B1-10096515502_95061438_2020,Saf
2023-10-01,95062310,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA-NAIVASHA ICD-MICROWAVE MPLS,B1-10096515502,200101.8009,Q2,Fyr 2023/24,2020-12-Saf00_95062310,B1-10096515502_95062310_2020,Saf
2023-10-01,95065396,2020-12-16,01-Oct-2023 to 31-Dec-2023, KRA  - KILINDINI 20 MBPS MPLS,B1-10096515502,289800.828,Q2,Fyr 2023/24,2020-12-Saf00_95065396,B1-10096515502_95065396_2020,Saf
2023-10-01,95065397,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA -USENGE 10 MBPS MPLS,B1-10096515502,174087.0,Q2,Fyr 2023/24,2020-12-Saf00_95065397,B1-10096515502_95065397_2020,Saf
2023-10-01,95096132,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA SHIMONI- WIMAX,B1-10096515502,180078.7944,Q2,Fyr 2023/24,2020-12-Saf00_95096132,B1-10096515502_95096132_2020,Saf
2023-10-01,95096536,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA MALABA-WIMAX,B1-10096515502,280129.995,Q2,Fyr 2023/24,2020-12-Saf00_95096536,B1-10096515502_95096536_2020,Saf
2023-10-01,95096537,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA THIKA-WIMAX,B1-10096515502,80029.79490000001,Q2,Fyr 2023/24,2020-12-Saf00_95096537,B1-10096515502_95096537_2020,Saf
2023-10-01,95096538,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA BUSIA-WIMAX,B1-10096515502,280173.2166,Q2,Fyr 2023/24,2020-12-Saf00_95096538,B1-10096515502_95096538_2020,Saf
2023-10-01,95096538,2023-10-01,01-Oct-2023 to 31-Dec-2023,KRA BUSIA-WIMAX,B1-10096515502,280173.2166,Q2,Fyr 2023/24,2023-10-Saf01_95096538,B1-10096515502_95096538_2023,Saf
2023-10-01,95096687,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA CUSTOMS OFFICE-  NAIROBI-NAMANGA WIMAX,B1-10096515502,280129.995,Q2,Fyr 2023/24,2020-12-Saf00_95096687,B1-10096515502_95096687_2020,Saf
2023-10-01,95096716,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA ISEBANIA-WIMAX,B1-10096515502,294887.7702,Q2,Fyr 2023/24,2020-12-Saf00_95096716,B1-10096515502_95096716_2020,Saf
2023-10-01,95096873,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA LUNGA LUNGA WIMAX,B1-10096515502,280129.995,Q2,Fyr 2023/24,2020-12-Saf00_95096873,B1-10096515502_95096873_2020,Saf
