Invoice_Date,Link_ID,SLA_Date,Invoice_Period,Invoice_Description,Invoice_Reference,Total_QRC,rank,SLA_ID,Unique_Link_ID,Service_Provider
2023-10-01,95059102,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA-NAROK-LOOP-CERAGON,B1-10096515502,81470.31480000001,00,2020-12-Saf00,2020-12-Saf00_95059102,Saf
2023-10-01,95060864,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA MBITA CERAGON,B1-10096515502,80029.79490000001,00,2020-12-Saf00,2020-12-Saf00_95060864,Saf
2023-10-01,95061438,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA MURANGA - 15 MBPS MPLS,B1-10096515502,74053.008,00,2020-12-Saf00,2020-12-Saf00_95061438,Saf
2023-10-01,95062310,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA-NAIVASHA ICD-MICROWAVE MPLS,B1-10096515502,200101.8009,00,2020-12-Saf00,2020-12-Saf00_95062310,Saf
2023-10-01,95065396,2020-12-16,01-Oct-2023 to 31-Dec-2023, KRA  - KILINDINI 20 MBPS MPLS,B1-10096515502,289800.828,00,2020-12-Saf00,2020-12-Saf00_95065396,Saf
2023-10-01,95065397,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA -USENGE 10 MBPS MPLS,B1-10096515502,174087.0,00,2020-12-Saf00,2020-12-Saf00_95065397,Saf
2023-10-01,95096132,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA SHIMONI- WIMAX,B1-10096515502,180078.7944,00,2020-12-Saf00,2020-12-Saf00_95096132,Saf
2023-10-01,95096536,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA MALABA-WIMAX,B1-10096515502,280129.995,00,2020-12-Saf00,2020-12-Saf00_95096536,Saf
2023-10-01,95096537,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA THIKA-WIMAX,B1-10096515502,80029.79490000001,00,2020-12-Saf00,2020-12-Saf00_95096537,Saf
2023-10-01,95096538,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA BUSIA-WIMAX,B1-10096515502,280173.2166,00,2020-12-Saf00,2020-12-Saf00_95096538,Saf
2023-10-01,95096538,2023-10-01,01-Oct-2023 to 31-Dec-2023,KRA BUSIA-WIMAX,B1-10096515502,280173.2166,01,2023-10-Saf01,2023-10-Saf01_95096538,Saf
2023-10-01,95096687,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA CUSTOMS OFFICE-  NAIROBI-NAMANGA WIMAX,B1-10096515502,280129.995,00,2020-12-Saf00,2020-12-Saf00_95096687,Saf
2023-10-01,95096716,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA ISEBANIA-WIMAX,B1-10096515502,294887.7702,00,2020-12-Saf00,2020-12-Saf00_95096716,Saf
2023-10-01,95096873,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA LUNGA LUNGA WIMAX,B1-10096515502,280129.995,00,2020-12-Saf00,2020-12-Saf00_95096873,Saf
