No.,KRA SITES,Last Mile,Link ID,Capacity,Monthly Ex,SLA Date,Quarterly Exc,Excise,VAT,Total Quarterly Inc,Comments
48,KRA-CITY SQUARE PPO,MPLS,95054485.0,10 Mbps,25439.4,2020-12-16,76318.20000000001,15263.640000000003,14653.094400000002,106234.93440000001,Former Railway Club
49,SHIMONI- WIMAX,MPLS,95096132.0,10 Mbps,44997.2,2020-12-16,134991.59999999998,26998.319999999996,25918.387199999997,187908.30719999998,
50,TAVETA CERAGON,MPLS,95035538.0,12 Mbps,69997.5,2020-12-16,209992.5,41998.5,40318.56,292309.56,
51,THIKA-WIMAX,MPLS,95096537.0,30 Mbps,69997.5,2020-12-16,209992.5,41998.5,40318.56,292309.56,"Upgrade 12>30 Mbps Billed KES 19,997.45"
52,VOI CERAGON,MPLS,95054486.0,5 Mbps,20352.8,2020-12-16,61058.399999999994,12211.68,11723.212799999998,84993.29279999998,
53,WAJIR TOWN,MPLS,95004141.0,20 Mbps,44997.2,2020-12-16,134991.59999999998,26998.319999999996,25918.387199999997,187908.30719999998,"Upgrade 10>20 Mbps. Check Upgrade Docs. KES 44,997.20"
54,USENGE 10  Mbps MPLS,MPLS,95065397.0,10 Mbps,43500.0,2020-12-16,130500.0,26100.0,25056.0,181656.0,
55,KRA - BUSIA-FIBRE,MPLS,95096538.0,20 Mbps,82200.0,2023-10-01,246600.0,49320.0,47347.200000000004,343267.2,
56,KRA - FIXED 30th Floor 3001,MPLS,95006961.0,15 Mbps,11274.36,2023-10-01,33823.08,6764.616000000001,6494.031360000001,47081.727360000004,
57,KRA - FIXED 25th Floor 2575,Internet ,95006963.0,15 Mbps,11274.36,2023-10-01,33823.08,6764.616000000001,6494.031360000001,47081.727360000004,
58,KENYA SCHOOL OF REVENUE  -FIBER,Internet ,95021939.0,10 Mbps,15300.0,2023-10-01,45900.0,9180.0,8812.800000000001,63892.8,
59,KRA -SIAYA,MPLS,95018756.0,10 Mbps,38000.0,2023-10-01,114000.0,22800.0,21888.0,158688.0,
Total,,,,,2387126.969999999,,7161380.910000001,1432276.1819999998,1374985.1347200004,9968642.22672,
