Link_ID,SLA_Date,Last_Mile,Capacity_in_Mbps,Location,MRC_Excl,SLM_Comments,QRC_Incl,rank,SLA_ID,Unique_Link_Identifier_SLA,Service_Provider
95054480,2020-12-16,MPLS,5,NAKURU KPC MICROWAVE,20357.4,,70843.75,00,2020-12-Saf00,2020-12-Saf00_95054480,Saf
95096687,2020-12-16,MPLS,12,NAMANGA WIMAX,69997.5,,243591.3,00,2020-12-Saf00,2020-12-Saf00_95096687,Saf
95054481,2020-12-16,MPLS,5,NANYUKI LOOP FIBER,20352.8,,70827.74,00,2020-12-Saf00,2020-12-Saf00_95054481,Saf
95059102,2020-12-16,MPLS,20,NAROK-LOOP-CERAGON,16998.4,Upgrade 4>20 Mbps. Check Upgrade Docs. KES 20357.4,59154.43,00,2020-12-Saf00,2020-12-Saf00_95059102,Saf
95054482,2020-12-16,MPLS,60,NYERI CERAGON,21366.0,Upgrade 6>60 Mbps. Check Upgrade Docs. KES 21366,74353.68,00,2020-12-Saf00,2020-12-Saf00_95054482,Saf
95060864,2020-12-16,MPLS,5,MBITA CERAGON,19997.45,,69591.13,00,2020-12-Saf00,2020-12-Saf00_95060864,Saf
95054484,2020-12-16,MPLS,30,PODO PARK-KESRA LOOP FIBER,30040.7,,104541.64,00,2020-12-Saf00,2020-12-Saf00_95054484,Saf
95054485,2020-12-16,MPLS,10,KRA-CITY SQUARE PPO,25439.4,Former Railway Club,88529.11,00,2020-12-Saf00,2020-12-Saf00_95054485,Saf
95096132,2020-12-16,MPLS,10,SHIMONI- WIMAX,44997.2,,156590.26,00,2020-12-Saf00,2020-12-Saf00_95096132,Saf
95035538,2020-12-16,MPLS,12,TAVETA CERAGON,69997.5,,243591.3,00,2020-12-Saf00,2020-12-Saf00_95035538,Saf
95096537,2020-12-16,MPLS,30,THIKA-WIMAX,69997.5,"Upgrade 12>30 Mbps Billed KES 19,997.45",243591.3,00,2020-12-Saf00,2020-12-Saf00_95096537,Saf
95054486,2020-12-16,MPLS,5,VOI CERAGON,20352.8,,70827.74,00,2020-12-Saf00,2020-12-Saf00_95054486,Saf
95004141,2020-12-16,MPLS,20,WAJIR TOWN,44997.2,"Upgrade 10>20 Mbps. Check Upgrade Docs. KES 44,997.20",156590.26,00,2020-12-Saf00,2020-12-Saf00_95004141,Saf
95065397,2020-12-16,MPLS,10,USENGE 10  Mbps MPLS,43500.0,,151380.0,00,2020-12-Saf00,2020-12-Saf00_95065397,Saf
95096538,2023-10-01,,20,KRA - BUSIA-FIBRE,,,,01,2023-10-Saf01,2023-10-Saf01_95096538,Saf
95006961,2023-10-01,,15,KRA - FIXED 30th Floor 3001,,,,01,2023-10-Saf01,2023-10-Saf01_95006961,Saf
95006963,2023-10-01,,15,KRA - FIXED 25th Floor 2575,,,,01,2023-10-Saf01,2023-10-Saf01_95006963,Saf
95021939,2023-10-01,,15,KENYA SCHOOL OF REVENUE  -FIBER,,,,01,2023-10-Saf01,2023-10-Saf01_95021939,Saf
95018756,2023-10-01,,10,KRA -SIAYA,,,,01,2023-10-Saf01,2023-10-Saf01_95018756,Saf
